JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456112.996493,12.6377,0.0039,,V,SPET,,114,118,8095AKK,,0,1.054,Z,11.5225,11.9231,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.997384,10.9655,0.0012,,R,SPET,,114,118,8095AKK,,0,1.053,Z,10.9210,11.3924,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.998287,10.1658,0.0033,,I,SPET,,114,118,8095AKK,,0,1.052,Z,11.3144,11.7789,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.999259,12.6378,0.0039,,V,SPET,,114,118,8095AKK,,0,1.050,Z,11.5261,11.9251,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.00015,10.9712,0.0012,,R,SPET,,114,118,8095AKK,,0,1.049,Z,10.9157,11.3887,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.001053,10.1741,0.0033,,I,SPET,,114,118,8095AKK,,0,1.047,Z,11.3104,11.7713,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.002025,12.6423,0.0040,,V,SPET,,114,118,8095AKK,,0,1.046,Z,11.5214,11.9244,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.002928,10.9708,0.0012,,R,SPET,,114,118,8095AKK,,0,1.045,Z,10.9276,11.3977,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.003831,10.1775,0.0030,,I,SPET,,114,118,8095AKK,,0,1.043,Z,11.3504,11.8109,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.004792,12.6557,0.0042,,V,SPET,,114,118,8095AKK,,0,1.042,Z,11.5874,11.9899,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.005694,10.9748,0.0013,,R,SPET,,114,118,8095AKK,,0,1.041,Z,10.9807,11.4534,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.006609,10.1761,0.0029,,I,SPET,,114,118,8095AKK,,0,1.039,Z,11.3768,11.8372,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.007581,12.6462,0.0042,,V,SPET,,114,118,8095AKK,,0,1.038,Z,11.5504,11.9541,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.008472,10.9765,0.0013,,R,SPET,,114,118,8095AKK,,0,1.037,Z,10.9486,11.4207,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.009375,10.1787,0.0030,,I,SPET,,114,118,8095AKK,,0,1.036,Z,11.3577,11.8179,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.010347,12.6524,0.0044,,V,SPET,,114,118,8095AKK,,0,1.035,Z,11.6004,11.9996,,PNV J17522579-2126215,AAVSO,STD,,,,
2456113.01125,10.9803,0.0013,,R,SPET,,114,118,8095AKK,,0,1.034,Z,10.9653,11.4452,,PNV J17522579-2126215,AAVSO,STD,,,,
