# PR_STOUT run at Thu Jun 11 13:49:07 2009
 
   col1     col2  col3   col4
3958.88220   V   16.088  0.009
3958.88512   R   14.835  0.014
3958.88699   I   13.031  0.024
3965.85941   B   16.243  0.007
3965.86229   V   16.056  0.006
3965.86521   R   14.784  0.011
3965.86704   I   12.959  0.017
3971.85951   B   16.328  0.007
3971.86243   V   16.068  0.006
3971.86531   R   14.881  0.010
3971.86718   I   13.033  0.017
3979.87497   B   16.412  0.011
3979.87788   V   16.153  0.008
3979.88076   R   15.088  0.018
3988.78294   B   16.641  0.018
3988.78582   V   16.348  0.013
3988.78873   R   15.654  0.046
3988.79061   I   13.710  0.067
3993.81553   B   16.622  0.009
3993.81844   V   16.368  0.008
3993.82136   R   15.208  0.015
3993.82319   I   13.333  0.024
4002.74764   B   16.756  0.009
4002.75052   V   16.269  0.006
4002.75344   R   15.314  0.014
4002.75531   I   13.413  0.023
4007.78824   B   16.790  0.010
4007.79112   V   16.305  0.007
4007.79403   R   15.386  0.015
4007.79591   I   13.443  0.023
4019.74224   B   17.031  0.017
4019.74511   V   16.430  0.010
4019.74803   R   15.612  0.022
4019.74991   I   13.707  0.036
4025.69729   B   17.023  0.011
4025.70017   V   16.429  0.008
4025.70309   R   15.605  0.019
4025.70496   I   13.701  0.031
4031.74395   B   17.103  0.011
4031.74683   V   16.481  0.007
4031.74974   R   15.611  0.018
4031.75162   I   13.681  0.029
4037.66877   B   17.156  0.013
4037.67164   V   16.476  0.008
4037.67456   R   15.590  0.017
4037.67643   I   13.794  0.029
4041.67241   B   17.257  0.021
4041.67533   V   16.558  0.010
4041.67825   R   15.774  0.025
4041.68008   I   13.834  0.038
4045.66666   B   17.381  0.037
4045.66954   V   16.662  0.015
4045.67245   R   15.949  0.038
4045.67433   I   14.064  0.057
4052.69120   B   17.327  0.014
4052.69407   V   16.598  0.008
4052.69699   R   15.791  0.020
4052.69886   I   13.871  0.033
4059.62001   B   17.400  0.014
4059.62288   V   16.645  0.009
4059.62580   R   15.940  0.025
4059.62767   I   14.048  0.046
4066.70287   B   17.471  0.014
4066.70579   V   16.691  0.008
4066.70871   R   15.954  0.022
4066.71058   I   13.987  0.035
4079.67615   B   17.614  0.020
4079.67903   V   16.790  0.010
4079.68194   R   16.160  0.032
4079.68382   I   14.049  0.046
4085.58643   B   17.679  0.017
4085.58930   V   16.825  0.009
4085.59222   R   16.137  0.026
4085.59409   I   14.205  0.046
4092.63007   B   17.709  0.016
4092.63294   V   16.842  0.009
4092.63582   R   16.182  0.025
4092.63769   I   14.195  0.040
4106.63192   I   14.265  0.062
4106.63483   R   16.443  0.049
4106.63667   V   17.006  0.016
4106.63954   B   17.852  0.039
4126.56990   I   14.467  0.067
4126.57282   R   16.457  0.042
4126.57469   V   17.063  0.013
4126.57757   B   17.963  0.027
4139.59091   I   14.343  0.053
4139.59383   R   16.474  0.036
4139.59570   V   17.128  0.012
4139.59862   B   18.089  0.024
4357.81770   I   14.085  0.046
4357.82049   R   16.830  0.052
4357.82224   V   17.866  0.022
4357.82499   B   18.668  0.041
4390.74105   I   14.209  0.042
4390.74392   R   17.056  0.053
4390.74567   V   18.903  0.037
4390.74851   B   19.005  0.038
4446.65712   I   14.225  0.040
4446.65999   R   17.168  0.054
4446.66174   V   18.923  0.038
4446.66453   B   19.201  0.046
4489.59298   I   14.136  0.041
4489.59586   R   17.426  0.088
4489.59761   V   18.881  0.063
4489.60040   B   19.339  0.118
